species	countryCode	n	country	organism_type	synonyms	common_names	broad_habitat	exotic_in	invasive_in	main_reference	checklist	origin	phylum
Anolis sagrei	AI	2	Anguilla	Vertebrate - Reptile	NA	NA	Terrestrial	Grenada;	Grenada;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Bubulcus ibis	AI	148	Anguilla	Vertebrate - Bird	Bulbucus ibis	"Garza ganadera (DR);Cattle Egret;Afrikaanse
koereiger"	Terrestrial	"Bahamas Islands;Turks and Caicos Islands;Dominican
Republic;Curacao;Aruba;Bonaire;Puerto Rico;US Virgin
Islands;Aruba;Barbados;Cuba;"	"Dominican
Republic;Turks and Caicos Islands;Bahamas Islands;"	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Papilio demoleus	AI	1	Anguilla	"Invertebrate -
Insect"	NA	chequered swallowtail	NA	Jamaica;Cayman Islands;Dominican Republic;	Jamaica;	"CABI,2011. Papilio demoleus. In: Invasive Species Compendium.
Wallingford, UK: CAB International. http://www.cabi.org/isc."	Caribbean_IAS_db	NA	NA
Passer domesticus	AI	2	Anguilla	Vertebrate - Bird	NA	"House sparrow;Gorrion domestico (DR);European
house sparrow;Europese huismuis"	Terrestrial	"Bahamas Islands;Dominican Republic;Curacao;Bermuda;St. Martin;British
Virgin Islands (Tortola Island);Guadeloupe;"	"Bahamas Islands;Bermuda;St. Martin;Curacao;Dominican Republic;British Virgin
Islands (Tortola Island);Guadeloupe;"	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Pheidole megacephala	AI	50	Anguilla	"Invertebrate -
Insect"	NA	Big-headed ant (ISC)	NA	"Bermuda;Puerto Rico;Cuba;Bahamas;Dominican Republic;Haiti;Jamaica;St.
Vincent-Grenadines;Trinidad-Tobago;"	"Bermuda;Puerto Rico;Cuba;Bahamas;Dominican Republic;Haiti;Jamaica;St. Vincent-
Grenadines;Trinidad-Tobago;"	"CABI,2011. Pheidole megacephala. In: Invasive Species
Compendium. Wallingford, UK: CAB International.
http://www.cabi.org/isc."	Caribbean_IAS_db	NA	NA
Solenopsis invicta	AI	20	Anguilla	"Invertebrate -
Insect"	NA	Red imported fireant;	Terrestrial	"Bahamas Islands;British Virgin Islands;US Virgin Islands;Turks and Caicos Islands
Islands;Antigua-Barbuda;Trinidad-Tobago;Puerto Rico;Cayman Islands (Cayman
Brac,Grand Cayman,Little Cayman);"	"Bahamas
Islands;British Virgin Islands;US Virgin
Islands;Turks and Caicos Islands
Islands;Antigua-Barbuda;Trinidad-Tobago;Cayman Islands (Cayman Brac, Grand
Cayman,Little Cayman);Puerto Rico;"	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Wasmannia auropunctata	AI	8	Anguilla	"Invertebrate -
Insect"	NA	Little fire ant (Bahamas Islands);	Terrestrial	Bahamas Islands;Bermuda;	Bahamas Islands;Puerto Rico (native);Trinidad-Tobago (native);	NA	Caribbean_IAS_db	NA	NA
Aedes albopictus	BM	1	Bermuda	"Invertebrate -
Insect"	NA	Asian tiger mosquito (ISC)	NA	Cayman Islands;Dominican Republic;Barbados;Trinidad-Tobago;Cuba;	Dominican Republic;Cuba;Cayman Islands;	"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"	Caribbean_IAS_db	NA	NA
Anolis aeneus	BM	6	Bermuda	Vertebrate - Reptile	NA	NA	Terrestrial	Trinidad-Tobago;Guyana;	Trinidad-Tobago;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Anolis carolinensis	BM	1	Bermuda	Vertebrate - Reptile	NA	NA	Terrestrial	Anguilla;Cayman Islands;	Anguilla;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Bubulcus ibis	BM	655	Bermuda	Vertebrate - Bird	Bulbucus ibis	"Garza ganadera (DR);Cattle Egret;Afrikaanse
koereiger"	Terrestrial	"Bahamas Islands;Turks and Caicos Islands;Dominican
Republic;Curacao;Aruba;Bonaire;Puerto Rico;US Virgin
Islands;Aruba;Barbados;Cuba;"	"Dominican
Republic;Turks and Caicos Islands;Bahamas Islands;"	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Hemidactylus mabouia	BM	10	Bermuda	Vertebrate - Reptile	NA	"pegapega;cosmopolitan house gecko;wood
slave;African wood slave;"	Terrestrial	"Curacao;Anguilla;British Virgin Islands;Cayman Islands;Puerto Rico;
Martinique;St. Vincent- Grenadines;Grenada;TrinidadTobago;Dominica;
Venezuela;Guyana;Suriname;"	Curacao;Martinique;Venezuela;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Melanoides tuberculata	BM	1	Bermuda	"Invertebrate -
Mollusc"	NA	Red-rimmed melania(ISC)	"Freshwater
Marine"	"Martinique;Cuba;Dominica;Dominican Republic;Guadeloupe;Montserrat;Puerto
Rico;St. Lucia;Venezuela;Florida;"	"Martinique;Cuba;Dominica;Dominican Republic;Guadeloupe;Montserrat;Puerto Rico;St.
Lucia;Venezuela;"	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
